          **   BC HYDRO - GENERATION AND HYDROMETEOROLOGIC INFORMATION  **          

CLIMATE, SNOW AND/OR SURFACE WATER STATION: Pine Pass SP (pyn)

Note: Data are provided for information only.
      BC Hydro does not guarantee their accuracy.
      Data are based on automated readings which are from time to time inaccurate.

      Date    Time      Precipitation      Air Temperature      Snow water equivalent      Snow depth      
(yyyy/mm/dd) (PST)          (mm)               (°C)                   (mm)                 (cm)         
2021/12/20 23:45:00          166                -20.8                    566                  193.200         
2021/12/20 23:30:00          166                -21.0                    566                  193.200         
2021/12/20 23:15:00          166                -21.1                    566                  193.200         
2021/12/20 23:00:00          166                -21.2                    566                  194.200         
2021/12/20 22:45:00          166                -21.4                    566                  194.200         
2021/12/20 22:30:00          166                -21.5                    566                  194.200         
2021/12/20 22:15:00          166                -21.5                    566                  194.200         
2021/12/20 22:00:00          166                -21.6                    566                  194.200         
2021/12/20 21:45:00          166                -21.7                    566                  194.200         
2021/12/20 21:30:00          166                -21.8                    566                  194.200         
2021/12/20 21:15:00          166                -21.8                    566                  194.200         
2021/12/20 21:00:00          166                -21.9                    566                  194.200         
2021/12/20 20:45:00          166                -22.0                    566                  194.200         
2021/12/20 20:30:00          166                -22.1                    566                  194.200         
2021/12/20 20:15:00          166                -22.1                    566                  194.200         
2021/12/20 20:00:00          166                -22.1                    566                  194.200         
2021/12/20 19:45:00          166                -22.1                    566                  194.200         
2021/12/20 19:30:00          165                -22.1                    566                  194.200         
2021/12/20 19:15:00          166                -22.2                    566                  194.200         
2021/12/20 19:00:00          165                -22.1                    566                  194.200         
2021/12/20 18:45:00          165                -22.1                    566                  194.200         
2021/12/20 18:30:00          165                -22.2                    566                  194.200         
2021/12/20 18:15:00          165                -22.2                    566                  194.200         
2021/12/20 18:00:00          165                -22.3                    566                  194.200         
2021/12/20 17:45:00          165                -22.3                    566                  194.200         
2021/12/20 17:30:00          165                -22.4                    566                  194.200         
2021/12/20 17:15:00          165                -22.4                    566                  194.200         
2021/12/20 17:00:00          165                -22.3                    566                  195.200         
2021/12/20 16:45:00          165                -22.2                    566                  195.200         
2021/12/20 16:30:00          165                -22.1                    566                  195.200         
2021/12/20 16:15:00          165                -22.0                    566                  195.200         
2021/12/20 16:00:00          165                -22.0                    566                  195.200         
2021/12/20 15:45:00          164                -21.9                    566                  195.200         
2021/12/20 15:30:00          164                -21.8                    566                  195.200         
2021/12/20 15:15:00          165                -21.9                    565                  195.200         
2021/12/20 15:00:00          164                -21.9                    565                  195.200         
2021/12/20 14:45:00          165                -21.8                    565                  195.200         
2021/12/20 14:30:00          164                -21.8                    565                  195.200         
2021/12/20 14:15:00          164                -21.8                    565                  195.200         
2021/12/20 14:00:00          164                -22.0                    565                  195.200         
